,avg_distance,penalties,best,amount of modifications
0,234.15188944296528,397.382949366464,397.382949366464,
1,235.1025127502884,398.0104924212521,397.382949366464,20.0
2,233.9332719861836,395.4492077642693,397.382949366464,23.0
3,234.94239825066597,396.7369588497671,395.4492077642693,27.0
4,234.7218638912978,394.9493753947264,395.4492077642693,16.0
5,237.93602393312625,398.4319052163101,394.9493753947264,25.0
6,235.03833469492375,396.6496813373332,394.9493753947264,12.0
7,235.28478120959525,395.59338240689596,394.9493753947264,20.0
8,234.32672052275473,393.9462487566117,394.9493753947264,20.0
9,234.48146100474344,395.3329584550407,393.9462487566117,18.0
10,232.927779701472,391.2522127674272,393.9462487566117,20.0
